구역,평형,계산단위_층,유닛폴리곤수,동수,원본유닛타입,평균_총개방각,중앙값_총개방각,25분위_총개방각,75분위_총개방각,최소_총개방각,최대_총개방각_앱최선후보,평균_최대연속각,중앙값_최대연속각,최대_최대연속각,평균_분절합산초과각,총개방각_연속각차이20도초과비율,30도이하비율,60도이상비율,90도이상비율,120도이상비율
2구역,25평,338,10,6,25,3.01,1.0,0.0,3.0,0.0,19.0,0.9,1.0,3.0,2.12,0.0,100.0,0.0,0.0,0.0
2구역,32평,261,6,5,32,4.15,3.0,1.0,6.0,1.0,15.0,1.3,1.0,2.0,2.86,0.0,100.0,0.0,0.0,0.0
2구역,37평,65,1,1,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2구역,41평,454,14,10,41,30.02,20.5,8.0,33.0,3.0,120.0,11.46,5.0,59.0,18.56,26.21,63.22,13.22,8.81,4.41
2구역,"45,46평",417,10,8,"45,46",15.5,12.0,6.0,20.0,0.0,57.0,4.12,2.0,16.0,11.38,9.11,84.41,0.0,0.0,0.0
2구역,"51,52평",361,9,9,"51,52",19.36,16.0,8.0,35.0,0.0,57.0,7.13,3.0,31.0,12.23,14.68,72.85,0.0,0.0,0.0
2구역,"55,56평",174,5,5,"55,56",43.87,36.0,23.0,70.0,9.0,107.0,11.64,9.0,38.0,32.22,51.72,31.61,25.86,11.49,0.0
2구역,60평,257,5,5,60,39.33,41.0,19.0,51.0,7.0,82.0,14.4,9.0,51.0,24.93,44.36,42.8,22.18,0.0,0.0
2구역,65평,114,2,2,65,45.5,46.0,40.0,55.0,20.0,69.0,17.7,21.0,37.0,27.8,57.02,17.54,17.54,0.0,0.0
2구역,70평,45,1,1,70,52.67,62.0,41.0,62.0,41.0,62.0,27.0,27.0,27.0,25.67,55.56,0.0,55.56,0.0,0.0
2구역,79평,130,2,2,79,38.51,34.0,29.0,41.0,22.0,75.0,5.48,4.0,11.0,33.03,84.62,34.62,15.38,0.0,0.0
2구역,87평,130,2,2,87,44.08,45.0,26.0,56.0,24.0,76.0,9.05,6.0,18.0,35.02,100.0,34.62,12.31,0.0,0.0
3구역,27평,1064,24,18,27,18.85,16.0,8.0,25.0,0.0,97.0,12.05,7.0,67.0,6.8,6.58,82.61,1.22,0.56,0.0
3구역,38평,242,5,4,38,40.6,43.0,23.0,54.0,5.0,92.0,30.57,24.0,87.0,10.03,12.81,35.12,23.14,2.07,0.0
