구역,평형,계산단위,평균조망각,특A급(100도 이상),A급(81~100도),A급 이상 소계,B급(61~80도),B급이상 소계,C급(41~60도),D급(21~40도),E급(20도 이하),C급이하 소계
2구역,25,313,15.55,0.0,0.0,0.0,8.31,8.31,5.75,12.14,73.8,91.69
2구역,32,256,15.53,0.0,0.0,0.0,5.47,5.47,5.47,5.47,83.59,94.53
2구역,37,61,4.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
2구역,41,429,59.07,17.25,3.26,20.51,14.69,35.2,16.55,38.0,10.26,64.81
2구역,60,225,63.03,12.44,8.0,20.44,28.0,48.44,25.78,25.78,0.0,51.56
2구역,65,99,79.08,13.13,3.03,16.16,48.48,64.64,35.35,0.0,0.0,35.35
2구역,70,38,109.52,55.26,5.26,60.52,39.47,99.99,0.0,0.0,0.0,0.0
2구역,79,114,77.15,11.4,14.91,26.31,57.89,84.2,15.79,0.0,0.0,15.79
2구역,87,122,89.41,23.77,24.59,48.36,36.07,84.43,15.57,0.0,0.0,15.57
2구역,P88,4,미산정,-,-,-,-,-,-,-,-,-
2구역,45~46,389,50.37,8.23,0.0,8.23,28.79,37.02,17.22,16.97,28.79,62.98
2구역,51~52,333,50.59,13.21,0.0,13.21,10.51,23.72,31.23,24.02,21.02,76.27
2구역,55~56,156,81.67,37.18,0.0,37.18,42.95,80.13,0.0,19.87,0.0,19.87
2구역,P95~97,26,미산정,-,-,-,-,-,-,-,-,-
2구역,P112~134,4,미산정,-,-,-,-,-,-,-,-,-
2구역,P174~175,2,미산정,-,-,-,-,-,-,-,-,-
3구역,27,998,18.85,0.0,0.6,0.6,0.7,1.3,8.22,29.96,60.52,98.7
3구역,38,708,40.6,0.0,2.12,2.12,21.05,23.17,40.54,16.53,19.77,76.84
3구역,42,1457,40.55,0.0,4.12,4.12,16.4,20.52,24.64,44.61,10.23,79.48
3구역,50,358,69.07,24.02,8.38,32.4,2.23,34.63,41.06,24.3,0.0,65.36
3구역,58,564,92.43,47.87,0.89,48.76,14.72,63.48,22.34,10.82,3.37,36.53
3구역,67,550,51.52,14.36,2.55,16.91,13.45,30.36,19.45,22.91,27.27,69.63
3구역,71,80,77.5,28.75,12.5,41.25,12.5,53.75,16.25,20.0,10.0,46.25
3구역,82,248,59.93,28.23,0.0,28.23,0.0,28.23,2.42,9.68,59.68,71.78
3구역,82P,37,미산정,-,-,-,-,-,-,-,-,-
3구역,91,80,148.59,83.75,16.25,100.0,0.0,100.0,0.0,0.0,0.0,0.0
3구역,91P,8,미산정,-,-,-,-,-,-,-,-,-
3구역,103,78,156.67,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0
3구역,103P,5,미산정,-,-,-,-,-,-,-,-,-
3구역,110P,2,미산정,-,-,-,-,-,-,-,-,-
3구역,183P,2,미산정,-,-,-,-,-,-,-,-,-
4구역,25,248,40.16,6.05,10.89,16.94,12.1,29.04,10.48,35.48,25.0,70.96
4구역,34,73,16.56,0.0,0.0,0.0,0.0,0.0,17.81,0.0,82.19,100.0
4구역,40,406,62.37,16.26,6.4,22.66,15.76,38.42,25.12,27.34,9.11,61.57
4구역,43,186,81.45,27.96,14.52,42.48,0.54,43.02,33.33,23.66,0.0,56.99
4구역,47,153,85.46,36.6,7.19,43.79,11.11,54.9,8.5,11.11,25.49,45.1
4구역,49,49,미산정,-,-,-,-,-,-,-,-,-
4구역,52,62,23.88,0.0,0.0,0.0,0.0,0.0,0.0,33.87,66.13,100.0
4구역,60,110,81.13,24.55,14.55,39.1,1.82,40.92,26.36,32.73,0.0,59.09
4구역,63,120,20.62,0.0,0.0,0.0,0.0,0.0,0.0,34.17,65.83,100.0
4구역,67,95,63.67,13.68,16.84,30.52,5.26,35.78,40.0,24.21,0.0,64.21
4구역,68,12,미산정,-,-,-,-,-,-,-,-,-
4구역,70,10,미산정,-,-,-,-,-,-,-,-,-
4구역,72,58,24.34,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
4구역,74,28,미산정,-,-,-,-,-,-,-,-,-
4구역,77,43,29.78,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
4구역,P94,4,미산정,-,-,-,-,-,-,-,-,-
4구역,P110,4,미산정,-,-,-,-,-,-,-,-,-
4구역,P172,1,미산정,-,-,-,-,-,-,-,-,-
5구역,25,311,37.49,5.14,8.36,13.5,5.79,19.29,19.94,8.36,52.41,80.71
5구역,31,328,64.33,21.34,10.06,31.4,7.93,39.33,14.33,35.67,10.67,60.67
5구역,35,269,95.65,43.87,0.37,44.24,6.69,50.93,42.38,6.69,0.0,49.07
5구역,41,194,70.93,33.51,5.15,38.66,1.03,39.69,24.74,10.31,25.26,60.31
5구역,51,132,50.77,0.0,17.42,17.42,39.39,56.81,13.64,0.0,29.55,43.19
5구역,61,140,135.38,71.43,1.43,72.86,27.14,100.0,0.0,0.0,0.0,0.0
5구역,71,16,170.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0
5구역,78,5,미산정,-,-,-,-,-,-,-,-,-
5구역,116,2,미산정,-,-,-,-,-,-,-,-,-
