구역,단지명,동,호,원본공시가격_2026_억,순위기준가격_2026_억,저층기준층,최고가격층,최고층,보정기준
2구역,신현대,101,101,42.900000,42.900000,1,11,12,12층 10% 보정
2구역,신현대,101,102,42.900000,42.900000,1,11,12,12층 10% 보정
2구역,신현대,101,103,42.900000,42.900000,1,11,12,12층 10% 보정
2구역,신현대,101,104,42.900000,42.900000,1,11,12,12층 10% 보정
2구역,신현대,101,105,42.900000,42.900000,1,11,12,12층 10% 보정
2구역,신현대,101,106,42.900000,42.900000,1,11,12,12층 10% 보정
2구역,신현대,101,107,42.900000,42.900000,1,11,12,12층 10% 보정
2구역,신현대,101,108,42.900000,42.900000,1,11,12,12층 10% 보정
2구역,신현대,101,201,43.890000,43.329000,1,11,12,12층 10% 보정
2구역,신현대,101,202,43.890000,43.329000,1,11,12,12층 10% 보정
2구역,신현대,101,203,43.890000,43.329000,1,11,12,12층 10% 보정
2구역,신현대,101,204,43.890000,43.329000,1,11,12,12층 10% 보정
2구역,신현대,101,205,43.890000,43.329000,1,11,12,12층 10% 보정
2구역,신현대,101,206,43.890000,43.329000,1,11,12,12층 10% 보정
2구역,신현대,101,207,43.890000,43.329000,1,11,12,12층 10% 보정
2구역,신현대,101,208,43.890000,43.329000,1,11,12,12층 10% 보정
2구역,신현대,101,301,45.030000,43.758000,1,11,12,12층 10% 보정
2구역,신현대,101,302,45.030000,43.758000,1,11,12,12층 10% 보정
2구역,신현대,101,303,45.030000,43.758000,1,11,12,12층 10% 보정
2구역,신현대,101,304,45.030000,43.758000,1,11,12,12층 10% 보정
2구역,신현대,101,305,45.030000,43.758000,1,11,12,12층 10% 보정
2구역,신현대,101,306,45.030000,43.758000,1,11,12,12층 10% 보정
2구역,신현대,101,307,45.030000,43.758000,1,11,12,12층 10% 보정
2구역,신현대,101,308,45.030000,43.758000,1,11,12,12층 10% 보정
2구역,신현대,101,401,45.760000,44.187000,1,11,12,12층 10% 보정
2구역,신현대,101,402,45.760000,44.187000,1,11,12,12층 10% 보정
2구역,신현대,101,403,45.760000,44.187000,1,11,12,12층 10% 보정
2구역,신현대,101,404,45.760000,44.187000,1,11,12,12층 10% 보정
2구역,신현대,101,405,45.760000,44.187000,1,11,12,12층 10% 보정
2구역,신현대,101,406,45.760000,44.187000,1,11,12,12층 10% 보정
2구역,신현대,101,407,45.760000,44.187000,1,11,12,12층 10% 보정
2구역,신현대,101,408,45.760000,44.187000,1,11,12,12층 10% 보정
2구역,신현대,101,501,45.760000,44.616000,1,11,12,12층 10% 보정
2구역,신현대,101,502,45.760000,44.616000,1,11,12,12층 10% 보정
2구역,신현대,101,503,45.760000,44.616000,1,11,12,12층 10% 보정
2구역,신현대,101,504,45.760000,44.616000,1,11,12,12층 10% 보정
2구역,신현대,101,505,45.760000,44.616000,1,11,12,12층 10% 보정
2구역,신현대,101,506,45.760000,44.616000,1,11,12,12층 10% 보정
2구역,신현대,101,507,45.760000,44.616000,1,11,12,12층 10% 보정
2구역,신현대,101,508,45.760000,44.616000,1,11,12,12층 10% 보정
2구역,신현대,101,601,46.500000,45.045000,1,11,12,12층 10% 보정
2구역,신현대,101,602,46.500000,45.045000,1,11,12,12층 10% 보정
2구역,신현대,101,603,46.500000,45.045000,1,11,12,12층 10% 보정
2구역,신현대,101,604,46.500000,45.045000,1,11,12,12층 10% 보정
2구역,신현대,101,605,46.500000,45.045000,1,11,12,12층 10% 보정
2구역,신현대,101,606,46.500000,45.045000,1,11,12,12층 10% 보정
2구역,신현대,101,607,46.500000,45.045000,1,11,12,12층 10% 보정
2구역,신현대,101,608,46.500000,45.045000,1,11,12,12층 10% 보정
2구역,신현대,101,701,47.130000,45.474000,1,11,12,12층 10% 보정
2구역,신현대,101,702,47.130000,45.474000,1,11,12,12층 10% 보정
2구역,신현대,101,703,47.130000,45.474000,1,11,12,12층 10% 보정
2구역,신현대,101,704,47.130000,45.474000,1,11,12,12층 10% 보정
2구역,신현대,101,705,47.130000,45.474000,1,11,12,12층 10% 보정
2구역,신현대,101,706,47.130000,45.474000,1,11,12,12층 10% 보정
2구역,신현대,101,707,47.130000,45.474000,1,11,12,12층 10% 보정
2구역,신현대,101,708,47.130000,45.474000,1,11,12,12층 10% 보정
2구역,신현대,101,801,47.130000,45.903000,1,11,12,12층 10% 보정
2구역,신현대,101,802,47.130000,45.903000,1,11,12,12층 10% 보정
2구역,신현대,101,803,47.130000,45.903000,1,11,12,12층 10% 보정
2구역,신현대,101,804,47.130000,45.903000,1,11,12,12층 10% 보정
2구역,신현대,101,805,47.130000,45.903000,1,11,12,12층 10% 보정
2구역,신현대,101,806,47.130000,45.903000,1,11,12,12층 10% 보정
2구역,신현대,101,807,47.130000,45.903000,1,11,12,12층 10% 보정
2구역,신현대,101,808,47.130000,45.903000,1,11,12,12층 10% 보정
2구역,신현대,101,901,47.130000,46.332000,1,11,12,12층 10% 보정
