구역,평형,유닛수,동수,층표본수,가중평균조망각,중앙조망각,상위25%경계각,최소조망각,최대조망각,최대각비중_pct,10도초과_pct,20도초과_pct,30도초과_pct,0도비중_pct,가중평균최대연속각,분포
2구역,25,10,6,338,3.01,1.0,3.0,0.0,19.0,5.6,11.5,0.0,0.0,33.4,0.9,"{""10~20도"": 11.5, ""10도 이하"": 88.5}"
2구역,32,6,5,261,4.15,3.0,6.0,1.0,15.0,0.8,6.1,0.0,0.0,0.0,1.3,"{""10~20도"": 6.1, ""10도 이하"": 93.9}"
2구역,37,1,1,65,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,"{""10도 이하"": 100.0}"
2구역,41,14,10,454,30.02,19.0,33.0,3.0,120.0,4.4,70.3,50.0,36.8,0.0,11.46,"{""10~20도"": 20.3, ""10도 이하"": 29.7, ""20~30도"": 13.2, ""30~40도"": 23.6, ""80~90도"": 4.4, ""110~120도"": 8.8}"
2구역,"45,46",10,8,417,15.5,12.0,20.0,0.0,57.0,4.8,64.5,16.1,15.6,7.0,4.12,"{""10~20도"": 48.4, ""10도 이하"": 35.5, ""20~30도"": 0.5, ""30~40도"": 7.0, ""40~50도"": 3.8, ""50~60도"": 4.8}"
2구역,"51,52",9,9,361,19.36,16.0,35.0,0.0,57.0,1.1,63.2,38.0,27.1,5.5,7.13,"{""10~20도"": 25.2, ""10도 이하"": 36.8, ""20~30도"": 10.8, ""30~40도"": 11.1, ""40~50도"": 15.0, ""50~60도"": 1.1}"
2구역,"55,56",5,5,174,43.87,36.0,70.0,9.0,107.0,11.5,88.5,79.9,68.4,0.0,11.64,"{""10~20도"": 8.6, ""10도 이하"": 11.5, ""20~30도"": 11.5, ""30~40도"": 31.0, ""50~60도"": 11.5, ""60~70도"": 14.4, ""100~110도"": 11.5}"
2구역,60,5,5,257,39.33,41.0,51.0,7.0,82.0,1.6,82.5,73.2,57.2,0.0,14.4,"{""10~20도"": 9.3, ""10도 이하"": 17.5, ""20~30도"": 16.0, ""40~50도"": 25.3, ""50~60도"": 9.7, ""60~70도"": 9.3, ""70~80도"": 11.3, ""80~90도"": 1.6}"
2구역,65,2,2,114,45.5,46.0,55.0,20.0,69.0,3.5,100.0,82.5,82.5,0.0,17.7,"{""10~20도"": 17.5, ""30~40도"": 25.4, ""40~50도"": 17.5, ""50~60도"": 21.9, ""60~70도"": 17.5}"
2구역,70,1,1,45,52.67,62.0,62.0,41.0,62.0,55.6,100.0,100.0,100.0,0.0,27.0,"{""40~50도"": 44.4, ""60~70도"": 55.6}"
2구역,79,2,2,130,38.51,32.0,41.0,22.0,75.0,12.3,100.0,100.0,65.4,0.0,5.48,"{""20~30도"": 34.6, ""30~40도"": 30.8, ""40~50도"": 19.2, ""60~70도"": 3.1, ""70~80도"": 12.3}"
2구역,87,2,2,130,44.08,43.0,56.0,24.0,76.0,12.3,100.0,100.0,65.4,0.0,9.05,"{""20~30도"": 34.6, ""30~40도"": 3.1, ""40~50도"": 27.7, ""50~60도"": 22.3, ""70~80도"": 12.3}"
3구역,27,24,18,1064,18.85,16.0,25.0,0.0,97.0,0.3,61.0,39.5,17.4,2.0,12.05,"{""10~20도"": 21.5, ""10도 이하"": 39.0, ""20~30도"": 22.1, ""30~40도"": 7.9, ""40~50도"": 6.5, ""50~60도"": 1.8, ""60~70도"": 0.5, ""70~80도"": 0.2, ""80~90도"": 0.1, ""90~100도"": 0.5}"
3구역,38,5,4,242,40.6,43.0,54.0,5.0,92.0,2.1,83.1,80.2,64.9,0.0,30.57,"{""10~20도"": 2.9, ""10도 이하"": 16.9, ""20~30도"": 15.3, ""30~40도"": 1.2, ""40~50도"": 37.6, ""50~60도"": 2.9, ""60~70도"": 11.6, ""70~80도"": 9.5, ""90~100도"": 2.1}"
3구역,42,4,4,195,40.55,38.0,43.0,12.0,94.0,1.5,100.0,89.7,68.2,0.0,19.68,"{""10~20도"": 10.3, ""20~30도"": 21.5, ""30~40도"": 23.1, ""40~50도"": 23.6, ""50~60도"": 1.0, ""60~70도"": 15.9, ""70~80도"": 0.5, ""80~90도"": 2.6, ""90~100도"": 1.5}"
3구역,50,7,4,336,69.07,51.0,98.0,22.0,159.0,8.0,100.0,100.0,88.1,0.0,49.23,"{""20~30도"": 11.9, ""30~40도"": 12.5, ""40~50도"": 14.6, ""50~60도"": 26.5, ""60~70도"": 1.5, ""70~80도"": 0.6, ""80~90도"": 0.9, ""90~100도"": 7.4, ""100~110도"": 1.2, ""110~120도"": 8.0, ""120~130도"": 6.0, ""130~140도"": 0.6, ""150~160도"": 8.3}"
3구역,58,14,7,599,92.43,75.0,126.0,18.0,214.0,0.3,100.0,96.7,89.3,0.0,76.03,"{""10~20도"": 3.3, ""20~30도"": 7.3, ""30~40도"": 3.5, ""40~50도"": 14.2, ""50~60도"": 8.2, ""60~70도"": 7.0, ""70~80도"": 7.7, ""80~90도"": 0.8, ""100~110도"": 18.5, ""110~120도"": 3.8, ""120~130도"": 1.0, ""140~150도"": 6.5, ""150~160도"": 2.7, ""170~180도"": 8.7, ""180~190도"": 6.3, ""210~220도"": 0.3}"
3구역,67,24,13,1108,51.52,40.0,68.0,0.0,207.0,1.2,82.8,72.7,61.8,1.5,36.43,"{""10~20도"": 10.0, ""10도 이하"": 17.2, ""20~30도"": 10.9, ""30~40도"": 12.0, ""40~50도"": 13.1, ""50~60도"": 6.4, ""60~70도"": 6.8, ""70~80도"": 6.6, ""80~90도"": 2.5, ""90~100도"": 0.1, ""100~110도"": 5.7, ""110~120도"": 0.1, ""120~130도"": 0.3, ""130~140도"": 0.3, ""140~150도"": 0.1, ""150~160도"": 3.7, ""160~170도"": 0.4, ""170~180도"": 1.5, ""180~190도"": 1.2, ""200~210도"": 1.2}"
3구역,71,34,12,1402,77.5,65.0,108.0,1.0,211.0,1.7,92.4,89.8,80.9,0.0,66.55,"{""10~20도"": 2.6, ""10도 이하"": 7.6, ""20~30도"": 8.9, ""30~40도"": 10.8, ""40~50도"": 8.0, ""50~60도"": 8.4, ""60~70도"": 8.1, ""70~80도"": 4.3, ""80~90도"": 10.6, ""90~100도"": 1.6, ""100~110도"": 5.1, ""110~120도"": 0.1, ""120~130도"": 0.1, ""130~140도"": 5.8, ""140~150도"": 7.3, ""150~160도"": 2.6, ""160~170도"": 4.6, ""170~180도"": 1.8, ""180~190도"": 0.1, ""190~200도"": 0.1, ""210~220도"": 1.7}"
3구역,82,8,4,268,59.93,13.0,166.0,1.0,203.0,7.1,51.5,40.3,38.8,0.0,55.59,"{""10~20도"": 11.2, ""10도 이하"": 48.5, ""20~30도"": 1.5, ""30~40도"": 8.2, ""40~50도"": 1.5, ""50~60도"": 0.7, ""160~170도"": 14.2, ""180~190도"": 7.1, ""200~210도"": 7.1}"
