구역,평형,조망표본수,평균조망각,AAA_표본수,AAA_비율,AA_표본수,AA_비율,A_표본수,A_비율,BBB_표본수,BBB_비율,BB_표본수,BB_비율,B_표본수,B_비율,CCC_표본수,CCC_비율,CC_표본수,CC_비율,C_표본수,C_비율,D_표본수,D_비율
2구역,25,328,15.55,0,0.0,0,0.0,0,0.0,0,0.0,27,8.23,1,0.3,18,5.49,20,6.1,20,6.1,242,73.78
2구역,32,255,15.53,0,0.0,0,0.0,0,0.0,0,0.0,14,5.49,0,0.0,14,5.49,2,0.78,12,4.71,213,83.53
2구역,37,64,4.62,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,64,100.0
2구역,41,440,59.07,76,17.27,0,0.0,14,3.18,48,10.91,17,3.86,21,4.77,52,11.82,121,27.5,46,10.45,45,10.23
2구역,60,252,63.03,31,12.3,0,0.0,20,7.94,0,0.0,71,28.17,24,9.52,41,16.27,45,17.86,20,7.94,0,0.0
2구역,65,112,79.08,15,13.39,0,0.0,3,2.68,25,22.32,29,25.89,20,17.86,20,17.86,0,0.0,0,0.0,0,0.0
2구역,70,44,109.52,24,54.55,0,0.0,3,6.82,17,38.64,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2구역,79,128,77.15,15,11.72,4,3.12,15,11.72,29,22.66,45,35.16,20,15.62,0,0.0,0,0.0,0,0.0,0,0.0
2구역,87,128,89.41,30,23.44,3,2.34,29,22.66,21,16.41,25,19.53,20,15.62,0,0.0,0,0.0,0,0.0,0,0.0
2구역,45~46,407,50.37,34,8.35,0,0.0,0,0.0,49,12.04,68,16.71,70,17.2,0,0.0,64,15.72,5,1.23,117,28.75
2구역,51~52,352,50.59,47,13.35,0,0.0,0,0.0,23,6.53,14,3.98,53,15.06,57,16.19,64,18.18,20,5.68,74,21.02
2구역,55~56,169,81.67,63,37.28,0,0.0,0,0.0,24,14.2,48,28.4,0,0.0,0,0.0,14,8.28,20,11.83,0,0.0
3구역,27,1064,18.85,0,0.0,5,0.47,1,0.09,2,0.19,5,0.47,19,1.79,69,6.48,84,7.89,235,22.09,644,60.53
