fid,sourceFid,zone,zoneId,dong,unitType,floors,heightM,riverDistanceM,riverBearing,riverBearingName,topFloorViewAngle,topFloorRange,bestViewAngle,bestFloorRange,bestAngleRange
2-2,2,2구역,2,101,41,20,83.8,69,303,북서,120,327~25,120,1-20,327~25
2-3,3,2구역,2,101,"55,56",20,83.8,72,303,북서,107,228~265,107,1-20,228~265
2-7,7,2구역,2,102,"45,46",45,176.1,120,303,북서,20,248~249,20,1-45,248~249
2-8,8,2구역,2,102,"45,46",45,176.1,142,303,북서,12,254~255,12,1-45,254~255
2-9,9,2구역,2,102,"51,52",45,176.1,151,303,북서,16,7~13,16,21-45,7~13
2-5,5,2구역,2,102,"55,56",45,176.1,107,303,북서,70,14~22,70,21-45,14~22
2-11,11,2구역,2,102,60,45,176.1,133,303,북서,24,8~16,24,21-45,8~16
2-4,4,2구역,2,102,70,45,176.1,112,303,북서,62,354~20,62,21-45,354~20
2-17,17,2구역,2,103,25,25,102.3,218,303,북서,1,274~274,1,1-25,274~274
2-15,15,2구역,2,103,"45,46",25,102.3,205,303,북서,14,273~274,14,1-25,273~274
2-16,16,2구역,2,103,"45,46",25,102.3,211,303,북서,9,4~5,9,21-25,4~5
2-12,12,2구역,2,103,"51,52",25,102.3,192,303,북서,22,3~12,22,21-25,3~12
2-14,14,2구역,2,103,"55,56",25,102.3,188,303,북서,36,265~268,36,1-25,265~268
2-21,21,2구역,2,104,32,49,190.9,247,303,북서,8,263~264,8,26-49,263~264
2-20,20,2구역,2,104,41,49,190.9,251,303,북서,12,336~337,12,21-49,336~337
2-22,22,2구역,2,104,"45,46",49,190.9,229,303,북서,18,265~266,18,46-49,265~266
2-19,19,2구역,2,104,"51,52",49,190.9,227,303,북서,57,329~359,57,46-49,329~359
2-18,18,2구역,2,104,60,49,190.9,212,303,북서,82,355~6,82,46-49,355~6
2-25,25,2구역,2,105,32,65,242.6,270,303,북서,15,285~285,15,64-65,285~285
2-27,27,2구역,2,105,"45,46",65,242.6,279,303,북서,23,259~260,23,64-65,259~260
2-26,26,2구역,2,105,"51,52",65,242.6,284,303,북서,20,308~309,20,64-65,308~309
2-28,28,2구역,2,105,60,65,242.6,254,303,북서,23,258~259,23,50-65,258~259
2-23,23,2구역,2,105,79,65,250,238,303,북서,75,358~4,75,50-65,358~4
2-24,24,2구역,2,105,87,65,242.6,250,303,북서,43,346~350,43,50-65,346~350
2-31,31,2구역,2,106,32,49,190.9,287,303,북서,1,346~346,1,1-49,346~346
2-30,30,2구역,2,106,"51,52",49,190.9,271,303,북서,11,343~344,11,46-49,343~344
2-32,32,2구역,2,106,"55,56",35,139.2,287,303,북서,13,273~274,13,21-35,273~274
2-29,29,2구역,2,106,60,49,190.9,259,303,북서,63,245~295,63,46-49,245~295
2-33,33,2구역,2,106,65,49,190.9,269,303,북서,69,247~283,69,46-49,247~283
2-37,37,2구역,2,107,25,39,154,301,303,북서,19,307~309,19,21-39,307~309
2-38,38,2구역,2,107,25,39,154,313,303,북서,0,,0,1-39,
2-35,35,2구역,2,107,41,39,154,288,303,북서,37,253~262,37,21-39,253~262
2-36,36,2구역,2,107,41,39,154,287,303,북서,40,314~342,40,21-39,314~342
2-34,34,2구역,2,107,"45,46",29,117.1,307,303,북서,0,,0,1-29,
2-42,42,2구역,2,108,37,65,250,217,303,북서,0,,0,1-65,
2-41,41,2구역,2,108,41,65,250,222,303,북서,3,340~340,3,1-65,340~340
2-40,40,2구역,2,108,"45,46",65,250,208,303,북서,49,336~351,49,50-65,336~351
2-39,39,2구역,2,108,65,65,250,190,303,북서,66,330~355,66,50-65,330~355
2-43,43,2구역,2,108,79,65,250,203,303,북서,36,240~250,36,46-65,240~250
2-44,44,2구역,2,108,87,65,250,187,303,북서,76,235~252,76,50-65,235~252
2-46,46,2구역,2,109,25,49,190.9,123,303,북서,6,325~325,6,21-49,325~325
2-49,49,2구역,2,109,41,49,190.9,115,303,북서,33,227~240,33,21-49,227~240
2-47,47,2구역,2,109,"45,46",49,190.9,138,303,북서,12,332~333,12,21-49,332~333
2-45,45,2구역,2,109,"51,52",49,190.9,104,303,북서,47,358~5,47,21-49,358~5
2-48,48,2구역,2,109,"55,56",49,190.9,133,303,북서,32,230~248,32,21-49,230~248
2-50,50,2구역,2,109,60,49,190.9,98,303,북서,80,223~244,80,21-49,223~244
2-51,51,2구역,2,110,41,20,83.8,57,303,북서,89,219~257,89,1-20,219~257
2-52,52,2구역,2,110,41,20,83.8,52,303,북서,112,352~20,112,1-20,352~20
2-53,53,2구역,2,111,41,20,83.8,83,303,북서,18,222~235,18,1-20,222~235
2-54,54,2구역,2,111,41,20,83.8,75,303,북서,31,315~320,31,1-20,315~320
2-56,56,2구역,2,111,"45,46",20,83.8,61,303,북서,57,218~230,57,1-20,218~230
2-55,55,2구역,2,111,"51,52",20,83.8,66,303,북서,35,243~247,35,1-20,243~247
2-60,60,2구역,2,112,25,20,83.8,307,303,북서,1,339~339,1,1-20,339~339
2-61,61,2구역,2,112,25,20,83.8,306,303,북서,0,,0,1-20,
2-57,57,2구역,2,112,41,20,83.8,278,303,북서,29,357~1,29,1-20,357~1
2-58,58,2구역,2,112,41,20,83.8,294,303,북서,8,284~284,8,1-20,284~284
2-59,59,2구역,2,112,"51,52",20,83.8,287,303,북서,12,285~286,12,1-20,285~286
2-62,62,2구역,2,113,25,39,154,344,303,북서,3,331~331,3,1-39,331~331
2-63,63,2구역,2,113,25,39,154,343,303,북서,1,277~277,1,21-39,277~277
2-64,64,2구역,2,113,32,39,154,326,303,북서,13,276~277,13,26-39,276~277
2-66,66,2구역,2,113,41,39,154,323,303,북서,15,293~294,15,26-39,293~294
2-65,65,2구역,2,113,"51,52",39,154,313,303,북서,22,284~286,22,26-39,284~286
2-70,70,2구역,2,114,25,34,135.5,375,303,북서,2,302~302,2,26-34,302~302
2-71,71,2구역,2,114,25,34,135.5,373,303,북서,0,,0,1-34,
2-67,67,2구역,2,114,32,34,135.5,358,303,북서,10,291~292,10,26-34,291~292
2-69,69,2구역,2,114,32,25,102.3,353,303,북서,2,301~301,2,1-25,301~301
2-68,68,2구역,2,114,41,34,135.5,344,303,북서,19,276~278,19,26-34,276~278
4-1,1,4구역,4,101,47A,17,70.8,97,19,북,97,80~100,97,1-17,80~100
4-2,2,4구역,4,101,47A,17,70.8,97,19,북,46,92~101,46,1-17,92~101
4-3,3,4구역,4,101,47B,17,70.8,99,19,북,79,90~101,79,1-17,90~101
4-4,4,4구역,4,101,47B,17,70.8,126,19,북,17,86~93,17,1-17,86~93
